File.Name	Precursors.Identified	Proteins.Identified	Total.Quantity	MS1.Signal	MS2.Signal	FWHM.Scans	FWHM.RT	Median.Mass.Acc.MS1	Median.Mass.Acc.MS1.Corrected	Median.Mass.Acc.MS2	Median.Mass.Acc.MS2.Corrected	MS2.Mass.Instability	Normalisation.Instability	Median.RT.Prediction.Acc	Average.Peptide.Length	Average.Peptide.Charge	Average.Missed.Tryptic.Cleavages
TiO2_1.5KV_ven	27800	3867	1.19E+10	2.70E+11	2.33E+11	2.523	0.14	1.24864	0.523018	3.34293	2.81901	0.2	0.170413	0.314239	13.795	2.397	0.126
TiO2_1.5KV_ctrl	27228	3756	1.19E+10	2.58E+11	2.22E+11	2.461	0.136	1.18281	0.546589	3.38069	2.58776	0.2	0.218332	0.301199	13.826	2.401	0.123
TiO2_2.1KV_ven	26052	3318	1.38E+10	2.75E+11	2.30E+11	2.397	0.132	1.41587	0.541545	3.6462	2.56742	0.4	0.456956	0.28696	12.829	2.313	0.09
AFAC-08.raw.dia	23060	3189	9.73E+11	1.73E+13	1.60E+13	2.901	0.126	1.09132	0.974055	2.58173	2.1308	0.4	0.760246	0.445731	12.602	2.275	0.088
TiO2_2.1KV_ctrl	27303	3196	1.65E+10	3.27E+11	2.79E+11	2.393	0.132	1.35028	0.517062	3.37323	2.59475	0.7	0.436874	0.250367	12.914	2.326	0.091
AFAC-07.raw.dia	1345	0	6.85E+10	1.35E+12	1.20E+12	2.999	0.131	1.03864	1.00996	2.792	2.58718	0.5	1	0.273019	16.928	2.589	0.057
AFAC-06.raw.dia	21794	3053	8.90E+11	1.55E+13	1.52E+13	2.973	0.129	1.86267	0.713604	4.42638	2.30775	0.3	0.612414	0.544645	12.753	2.3	0.102
AFAC-05.raw.dia	21261	2902	7.78E+11	1.45E+13	1.48E+13	3.019	0.132	1.34526	0.747513	3.98497	2.50745	0.4	0.679615	0.53287	12.646	2.292	0.105
Fe3_TiO2_oldGrad_ven	20994	3042	1.69E+10	4.73E+11	3.90E+11	2.43	0.133	1.22881	0.529507	3.5624	2.66697	0.4	0.566329	0.237357	13.273	2.358	0.1
Fe3_TiO2_oldGrad_ctrl	25044	3520	2.12E+10	6.61E+11	5.27E+11	2.501	0.137	1.2734	0.595297	3.77898	2.8331	0.6	0.509207	0.298828	13.516	2.388	0.136
Fe3_oldGrad_ven	18874	2670	6.77E+09	2.89E+11	2.44E+11	2.524	0.14	1.21726	0.510888	4.12825	3.23615	0.4	0.179979	0.280657	13.739	2.437	0.176
Fe3_adjGrad_ven	20327	2750	8.82E+09	3.60E+11	3.08E+11	2.465	0.136	1.21817	0.551478	4.00602	3.13873	0.5	0.161502	0.30609	13.596	2.427	0.17
Fe3_oldGrad_ctrl	19069	2749	8.86E+09	3.53E+11	2.63E+11	2.552	0.141	1.15945	0.457905	4.02609	2.82037	0.4	0.35182	0.264011	13.369	2.393	0.179
Fe3_adjGrad_ctrl	18769	2782	8.65E+09	3.36E+11	2.53E+11	2.435	0.135	1.22135	0.466397	3.69039	2.87705	0.4	0.359721	0.219614	13.325	2.392	0.184
